"filename", "language", "JavaScript", "HTML", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\steev\SAE-1.05-06\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 1
"c:\Users\steev\SAE-1.05-06\css\banner.css", "PostCSS", 0, 0, 36, 0, 4, 7, 47
"c:\Users\steev\SAE-1.05-06\css\candidature.css", "PostCSS", 0, 0, 79, 0, 2, 15, 96
"c:\Users\steev\SAE-1.05-06\css\colors.css", "PostCSS", 0, 0, 18, 0, 16, 15, 49
"c:\Users\steev\SAE-1.05-06\css\competences.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\steev\SAE-1.05-06\css\conseils.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\steev\SAE-1.05-06\css\contact.css", "PostCSS", 0, 0, 128, 0, 13, 31, 172
"c:\Users\steev\SAE-1.05-06\css\faq.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\steev\SAE-1.05-06\css\footer.css", "PostCSS", 0, 0, 37, 0, 1, 11, 49
"c:\Users\steev\SAE-1.05-06\css\index.css", "PostCSS", 0, 0, 29, 0, 0, 11, 40
"c:\Users\steev\SAE-1.05-06\css\journee-type.css", "PostCSS", 0, 0, 22, 0, 2, 4, 28
"c:\Users\steev\SAE-1.05-06\css\metiers.css", "PostCSS", 0, 0, 56, 0, 0, 9, 65
"c:\Users\steev\SAE-1.05-06\css\navbar.css", "PostCSS", 0, 0, 69, 0, 1, 18, 88
"c:\Users\steev\SAE-1.05-06\css\qui-sommes-nous.css", "PostCSS", 0, 0, 7, 0, 0, 0, 7
"c:\Users\steev\SAE-1.05-06\css\style.css", "PostCSS", 0, 0, 42, 0, 0, 9, 51
"c:\Users\steev\SAE-1.05-06\css\temoignages.css", "PostCSS", 0, 0, 65, 0, 0, 10, 75
"c:\Users\steev\SAE-1.05-06\css\valeurs.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\steev\SAE-1.05-06\js\contact.js", "JavaScript", 13, 0, 0, 0, 0, 5, 18
"c:\Users\steev\SAE-1.05-06\js\cv.js", "JavaScript", 11, 0, 0, 0, 4, 1, 16
"c:\Users\steev\SAE-1.05-06\js\map.js", "JavaScript", 832, 0, 0, 0, 7, 9, 848
"c:\Users\steev\SAE-1.05-06\js\theme.js", "JavaScript", 37, 0, 0, 0, 6, 5, 48
"c:\Users\steev\SAE-1.05-06\pages\candidature.html", "HTML", 0, 197, 0, 0, 0, 23, 220
"c:\Users\steev\SAE-1.05-06\pages\competences.html", "HTML", 0, 124, 0, 0, 1, 17, 142
"c:\Users\steev\SAE-1.05-06\pages\conseils.html", "HTML", 0, 124, 0, 0, 1, 17, 142
"c:\Users\steev\SAE-1.05-06\pages\contact.html", "HTML", 0, 190, 0, 0, 0, 24, 214
"c:\Users\steev\SAE-1.05-06\pages\faq.html", "HTML", 0, 124, 0, 0, 1, 17, 142
"c:\Users\steev\SAE-1.05-06\pages\footer.html", "HTML", 0, 86, 0, 0, 0, 11, 97
"c:\Users\steev\SAE-1.05-06\pages\index.html", "HTML", 0, 156, 0, 0, 0, 26, 182
"c:\Users\steev\SAE-1.05-06\pages\journee-type.html", "HTML", 0, 132, 0, 0, 0, 18, 150
"c:\Users\steev\SAE-1.05-06\pages\metiers.html", "HTML", 0, 203, 0, 0, 0, 21, 224
"c:\Users\steev\SAE-1.05-06\pages\navbar-banner.html", "HTML", 0, 57, 0, 0, 0, 11, 68
"c:\Users\steev\SAE-1.05-06\pages\navbar.html", "HTML", 0, 49, 0, 0, 0, 7, 56
"c:\Users\steev\SAE-1.05-06\pages\qui-sommes-nous.html", "HTML", 0, 170, 0, 0, 0, 21, 191
"c:\Users\steev\SAE-1.05-06\pages\temoignages.html", "HTML", 0, 199, 0, 0, 0, 23, 222
"c:\Users\steev\SAE-1.05-06\pages\valeurs.html", "HTML", 0, 124, 0, 0, 1, 17, 142
"c:\Users\steev\SAE-1.05-06\scrap.js", "JavaScript", 31, 0, 0, 0, 2, 6, 39
"Total", "-", 924, 1935, 588, 1, 62, 423, 3933
